id|uf_entrega|dia|custo_frete
6033|DF|2018-07-16|356.3641
6034|MT|2017-06-11|606.6846
6035|RS|2017-08-27|837.0005
6036|AM|2018-02-09|27.4586
6037|SC|2018-11-15|1614.9144
6038|ES|2017-01-26|223.6034
6039|RS|2019-03-24|1537.6841
6040|PR|2019-03-26|1110.7016
6041|GO|2018-07-23|145.0057
6042|ES|2019-01-08|1003.2348
6043|ES|2017-05-11|249.9413
6044|PI|2018-04-22|347.7067
6045|PR|2017-11-03|754578
6046|BA|2017-05-12|445.1338
6047|ES|2018-09-23|911.1526
6048|RS|2017-08-28|1102.5009
6049|SC|2018-07-21|1274.8228
6050|PB|2018-10-29|431.0777
6051|GO|2019-03-11|375.6517
6052|RS|2017-08-18|1365.6542
6053|BA|2018-12-04|2287.0261
6054|SC|2019-01-27|1034.7558
6055|SE|2017-04-11|273.5962
6056|PR|2018-06-30|1378.5741
6057|RN|2019-01-13|483.3609
6058|PR|2019-01-19|1098.6776
6059|BA|2017-04-21|805.6029
6060|PE|2018-03-08|1030.8516
6061|MT|2017-05-04|692.1673
6062|MG|2017-07-28|2931.7114
6063|PR|2017-03-22|897.1166
6064|BA|2018-03-04|1343.9541
6065|AL|2019-03-19|576.4497
6066|PE|2017-09-01|552.1047
6067|MT|2018-09-11|552.9163
6068|AL|2019-02-07|543.7207
6069|ES|2019-01-11|820.6403
6070|PR|2019-03-23|1060.2924
6071|ES|2017-07-02|759.8652
6072|BA|2017-12-01|759.8018
6073|PR|2018-09-04|978.0358
6074|MT|2017-10-31|579.0012
6075|PE|2019-01-29|1292.4113
6076|RN|2018-12-28|278.6382
6077|PE|2018-04-23|868.8617
6078|PE|2018-11-26|1641.2712
6079|AM|2018-11-27|137603
6080|PB|2018-10-18|484.7733
6081|PR|2018-09-14|943.7974
6082|PE|2018-01-16|757.1324
6083|PB|2018-12-07|425.6117
6084|ES|2018-12-09|562.8889
6085|PE|2017-06-18|541.3497
6086|RS|2019-02-02|1332768
6087|PR|2018-07-26|989.4252
6088|RS|2017-07-22|1400.2671
6089|RS|2018-02-24|1759.4064
6090|PE|2018-12-17|1283.7139
6091|BA|2019-04-12|578.5834
6092|BA|2017-04-06|540.9996
6093|SE|2018-05-29|190.7861
6094|MT|2018-02-17|721.7908
6095|ES|2017-06-30|905.4405
6096|GO|2018-02-13|166.7486
6097|PB|2018-01-25|110.3978
6098|MA|2018-03-23|111437
6099|CE|2017-09-19|304.7977
6100|PA|2019-02-21|336.6425
6101|GO|2018-11-28|369.7703
6102|RS|2017-04-01|1090.8065
6103|PB|2017-05-03|112.8951
6104|BA|2018-05-30|1091.2745
6105|RS|2018-08-14|1158.7375
6106|DF|2018-01-21|416.7778
6107|ES|2017-10-17|572.0289
6108|SE|2017-08-02|116.2145
6109|DF|2017-11-14|693.3271
6110|ES|2018-10-11|1160.4339
6111|GO|2017-04-04|142.5747
6112|BA|2017-12-15|1142.7556
6113|DF|2017-11-28|579.8123
6114|PI|2017-06-10|12.1855
6115|ES|2017-09-07|615.6757
6116|MT|2017-06-10|433.2085
6117|BA|2018-12-22|2014553
6118|PR|2018-07-05|1222.6481
6119|PR|2019-01-21|791.0846
6120|BA|2018-08-04|1705.2964
6121|MT|2017-05-15|211955
6122|PE|2019-01-12|893578
6123|MS|2018-10-03|336.3783
6124|AM|2019-04-05|432387
6125|CE|2017-09-18|406.1818
6126|MT|2017-04-10|210.6101
6127|CE|2018-02-16|129.6121
6128|GO|2019-03-30|211.0159
6129|RS|2017-07-31|805.9609
6130|GO|2018-12-05|242.56
6131|PA|2017-03-28|217.9181
6132|RO|2017-11-30|112027
6133|AL|2018-10-20|443.4577
6134|BA|2018-11-20|2444.9605
6135|PE|2018-12-11|977.5507
6136|GO|2017-02-22|159.2035
6137|BA|2017-04-22|768.8693
6138|PE|2019-03-13|949415
6139|ES|2019-01-16|1208.3276
6140|PR|2017-05-26|911.3734
6141|DF|2019-02-07|351.3132
6142|CE|2018-04-07|451.0112
6143|MA|2019-01-19|79227
6144|PB|2017-10-08|375.9894
6145|DF|2017-04-13|223.9651
6146|PR|2017-03-29|925.2344
6147|PR|2017-04-27|668.8514
6148|ES|2018-03-16|645.4332
6149|MS|2018-03-25|199.3086
6150|SE|2019-03-31|664351
6151|SE|2018-12-08|281.5097
6152|PR|2018-09-28|569982
6153|PA|2018-07-31|151.0655
6154|SC|2017-12-06|1989.3677
6155|PI|2018-12-14|363.5979
6156|ES|2017-06-16|509.5161
6157|PA|2018-08-21|402.6479
6158|PB|2017-10-07|377.0085
6159|PE|2018-06-29|993.2058
6160|BA|2017-03-06|399.3
6161|BA|2018-01-15|967.4054
6162|PB|2018-10-06|608108
6163|GO|2018-03-08|372.3179
6164|AP|2018-09-17|25.7609
6165|SE|2019-01-23|510.1869
6166|AM|2018-06-14|18.7295
6167|PR|2019-02-03|722.2332
6168|MS|2019-03-12|266984
6169|DF|2017-02-21|302.3959
6170|CE|2018-01-02|194.2319
6171|RS|2019-03-01|1173.7199
6172|SE|2018-10-29|146.4589
6173|BA|2017-09-06|525.4103
6174|SE|2017-09-28|104.9571
6175|MT|2018-06-16|582.8676
6176|PR|2017-02-15|688.1172
6177|AL|2019-03-13|386.8353
6178|DF|2018-06-13|586492
6179|SC|2017-02-25|824888
6180|RS|2017-01-27|1178.0249
6181|MS|2017-09-11|203.2253
6182|TO|2018-05-31|66.6622
6183|AC|2018-12-06|72.9704
6184|MA|2017-10-13|134.3703
6185|PE|2018-05-01|547.7228
6186|RS|2018-09-01|1282.4847
6187|ES|2018-06-28|654.2193
6188|MT|2017-03-07|281.4517
6189|MS|2017-06-16|207.4603
6190|SC|2017-01-17|640.5024
6191|MS|2019-03-09|296.3763
6192|DF|2018-07-08|356.4794
6193|RN|2019-03-24|724.3046
6194|DF|2018-11-01|633.6743
6195|SC|2017-06-08|968.4693
6196|RN|2019-03-14|1034.0376
6197|TO|2017-09-20|43.4215
6198|MT|2019-03-21|551.1709
6199|ES|2017-01-29|153.3338
6200|BA|2017-08-01|381.0992
6201|GO|2017-04-08|199.9507
6202|MT|2019-03-29|826.9626
6203|PR|2018-01-31|1538.8323
6204|RS|2018-05-11|1797.0244
6205|PR|2017-08-15|711129
6206|PR|2017-05-23|1146.7755
6207|GO|2017-01-21|172405
6208|ES|2017-11-28|1165.2643
6209|AP|2017-07-20|18.4501
6210|RS|2017-10-30|1362.3078
6211|DF|2017-10-20|398.7263
6212|PE|2017-01-27|716.5158
6213|RS|2018-06-30|2516.1857
6214|PE|2018-12-08|903.1096
6215|MT|2017-11-23|1003.0201
6216|RN|2018-11-24|999257
6217|BA|2019-03-27|2604.8796
6218|ES|2017-04-16|615.5546
6219|DF|2018-11-10|292.7422
6220|MS|2019-01-17|445.8795
6221|PE|2017-07-14|249.9169
6222|PB|2019-03-22|958.5084
6223|SC|2017-08-17|922.0579
6224|ES|2017-05-16|271.8599
6225|PE|2018-11-20|1046.9677
6226|ES|2017-06-08|641.0555
6227|MG|2018-12-28|3438.9182
6228|DF|2017-07-06|387.0874
6229|BA|2018-03-16|1559.8666
6230|PR|2017-06-15|1106.2564
6231|PA|2018-01-06|175.9226
6232|MG|2017-02-25|1815.2865
6233|AM|2019-02-25|154.5614
6234|ES|2018-04-01|576.1724
6235|PR|2017-03-25|1200.3759
6236|DF|2018-10-25|352.5675
6237|RS|2017-06-10|851.4049
6238|MG|2018-06-14|4649.85
6239|PB|2018-06-22|100.0537
6240|RJ|2017-12-25|4265752
6241|RS|2017-02-25|1327267
6242|ES|2017-11-13|840689
6243|RS|2018-08-25|1343.2495
6244|SC|2017-12-25|793.8509
6245|ES|2017-07-03|914.5728
6246|PR|2017-05-24|1198.8701
6247|ES|2017-11-17|1041.5093
6248|MT|2017-01-25|628.3312
6249|RS|2018-11-02|1216.3814
6250|RS|2019-04-04|1396.9739
6251|MG|2018-12-06|4252.0645
6252|BA|2019-03-06|2011.5393
6253|BA|2019-03-07|2012.9601
6254|PR|2019-03-17|1084.9848
6255|SC|2018-03-20|1156.0133
6256|PR|2017-03-09|704.3362
6257|RS|2018-01-25|2120314
6258|PR|2019-04-12|466.8384
6259|PB|2017-02-15|145137
6260|PI|2017-04-21|403.4152
6261|PA|2018-11-17|165.6098
6262|BA|2018-09-19|2020.0979
6263|AL|2018-08-20|350.1992
6264|MG|2018-01-08|3042.6908
6265|DF|2018-10-27|531.1144
6266|PR|2017-08-29|1169.0682
6267|MG|2019-04-12|1437.9958
6268|BA|2018-09-22|1544.7593
6269|RN|2017-07-06|246.7769
6270|BA|2018-12-20|1627.2552
6271|PB|2018-01-23|203.0757
6272|AM|2017-02-14|151.6042
6273|SC|2017-06-07|993.8821
6274|SC|2019-04-13|198.9577
6275|CE|2018-01-14|174.6678
6276|BA|2018-02-06|851.5269
6277|MT|2019-02-21|1098.3695
6278|AM|2019-01-19|166013
6279|RS|2018-06-25|1443.0793
6280|ES|2017-08-10|493.4289
6281|RS|2017-06-29|1486.4794
6282|RN|2018-04-11|597.6155
6283|SC|2019-01-26|1155.1096
6284|PB|2018-05-11|628.1092
6285|CE|2017-11-24|694.1107
6286|SC|2018-03-04|1227.1804
6287|ES|2019-01-25|476.1228
6288|PE|2018-12-31|918.6321
6289|RS|2018-10-01|1169.0166
6290|RS|2018-11-24|1652.8795
6291|RN|2018-08-05|393.5555
6292|DF|2018-12-26|292.2958
6293|PI|2018-12-25|460.6082
6294|AL|2018-12-10|539616
6295|DF|2017-02-02|390.7816
6296|BA|2018-01-01|374.3719
6297|PR|2018-05-31|852.3186
6298|MS|2017-07-29|127.7658
6299|PB|2019-01-17|643.1289
6300|RS|2018-07-09|1662.6758
6301|MG|2017-11-13|3271.6442
6302|DF|2017-03-23|225.9387
6303|AL|2019-01-07|352.9878
6304|GO|2018-09-14|175.2206
6305|PR|2018-07-21|1329.6329
6306|BA|2017-08-29|1105.7717
6307|MT|2018-12-29|274.7119
6308|PR|2018-08-12|1663.9595
6309|RN|2018-07-30|180.1327
6310|MS|2018-03-22|488.7516
6311|DF|2018-02-23|477.1673
6312|ES|2018-10-03|578.2686
6313|SE|2018-04-15|260.1847
6314|RS|2017-01-12|411.8861
6315|DF|2017-01-22|343.1667
6316|PB|2017-12-18|122.7343
6317|RN|2017-09-18|54.2505
6318|PA|2018-05-25|389.3611
6319|RN|2018-12-05|818.9176
6320|MT|2019-03-20|462.6941
6321|GO|2018-11-22|451.6115
6322|AL|2017-11-07|39.4245
6323|ES|2017-10-21|763.3674
6324|PB|2017-11-27|602.0572
6325|RS|2017-03-07|1097.5061
6326|PR|2017-06-04|876.7172
6327|ES|2017-07-31|403.9475
6328|ES|2018-05-09|548.9992
6329|AM|2018-06-18|25.6035
6330|BA|2017-09-12|644131
6331|RN|2018-12-10|704.1559
6332|PA|2018-10-11|319.5995
6333|MA|2017-08-29|46.1049
6334|ES|2018-11-07|682078
6335|SC|2017-06-23|500.5525
6336|SC|2017-04-28|515.0454
6337|PE|2017-11-05|425.7806
6338|AM|2019-03-26|84.5453
6339|CE|2019-04-12|280.8339
6340|PI|2018-04-18|78.9922
6341|SC|2018-11-19|1299.1309
6342|ES|2018-11-13|726.8547
6343|TO|2018-08-18|111.7287
6344|RN|2018-12-23|411.0263
6345|PE|2018-08-22|2487.2346
6346|SE|2017-12-11|255.8065
6347|SC|2018-12-08|1261.2755
6348|SC|2017-09-05|1032.3948
6349|BA|2017-08-26|774.2868
6350|SC|2017-10-04|1346.2277
6351|GO|2019-01-12|254.3475
6352|PE|2017-10-19|288.2917
6353|ES|2017-08-09|588.6975
6354|PI|2018-12-02|682.2374
6355|AL|2018-09-06|172.4743
6356|PR|2017-02-18|936.2221
6357|MT|2017-10-27|715.9967
6358|MA|2018-11-16|624083
6359|MS|2019-01-02|66658
6360|PR|2019-03-31|872295
6361|AM|2018-09-10|43.2515
6362|MA|2018-01-03|136.2166
6363|MG|2018-08-26|3549363
6364|DF|2019-04-02|419.3682
6365|CE|2018-12-13|1267.0136
6366|PE|2018-05-20|757.7146
6367|DF|2018-06-08|131.3026
6368|DF|2018-12-17|261.2497
6369|PB|2017-07-09|203.6456
6370|BA|2017-12-03|1220.4826
6371|MA|2018-08-26|118.6748
6372|SC|2018-07-16|1392.2654
6373|PE|2018-10-18|1671.3001
6374|PB|2017-06-20|127.1277
6375|ES|2019-02-07|571.9344
6376|SC|2019-02-19|1100398
6377|DF|2019-03-09|335.1913
6378|CE|2018-11-06|557.5029
6379|MG|2017-04-22|2080.0265
6380|CE|2018-11-11|1015.1211
6381|SC|2019-02-18|1063.1455
6382|RS|2018-04-17|1538.4096
6383|SE|2017-03-11|181.8539
6384|MA|2017-06-04|174.2377
6385|PB|2018-06-17|319.2491
6386|PB|2019-02-15|801.9639
6387|PE|2017-09-11|166.7247
6388|RN|2017-04-20|102.3087
6389|AL|2018-06-16|152.4941
6390|PR|2018-05-19|910.0993
6391|GO|2018-05-07|276.3612
6392|ES|2018-08-23|715.9751
6393|GO|2017-02-06|300.2454
6394|CE|2018-09-23|704.0762
6395|MS|2017-11-17|175.3167
6396|RS|2017-08-12|1536.1767
6397|DF|2018-03-15|432.7548
6398|PE|2017-02-20|181.9313
6399|PR|2018-01-16|1219.2574
6400|TO|2018-08-16|276858
6401|DF|2019-02-12|605.5563
6402|AM|2018-06-16|38.8877
6403|PB|2017-02-28|121.3278
6404|RO|2017-07-04|98.1259
6405|PE|2018-12-15|819.4575
6406|PA|2018-11-03|248.5695
6407|SC|2018-11-10|1415.3797
6408|MA|2018-09-04|435.5058
6409|PR|2017-02-06|867.7452
6410|PB|2017-03-07|115.9947
6411|BA|2017-12-14|677.5316
6412|BA|2018-01-14|655.8444
6413|PA|2017-12-04|256.2942
6414|PE|2019-01-15|984354
6415|MT|2017-03-12|361.0134
6416|MT|2018-08-28|479.0756
6417|PR|2018-02-15|1260136
6418|SC|2018-10-05|1096.3568
6419|MS|2018-09-18|562.6248
6420|MT|2018-01-19|466.3117
6421|SE|2017-11-18|83.5086
6422|BA|2019-01-21|1819.9093
6423|PE|2017-08-21|519.7789
6424|PR|2017-04-11|618.3076
6425|PB|2018-12-25|563.0045
6426|CE|2017-07-04|334.9301
6427|DF|2018-06-11|768.2895
6428|PE|2018-10-31|991.0856
6429|AL|2018-03-19|353.8642
6430|RO|2018-07-05|1.9376
6431|PR|2018-11-13|1007.0285
6432|BA|2018-01-02|189576
6433|PI|2019-01-24|263.9795
6434|PE|2017-06-16|96.6988
6435|RN|2019-03-02|358.7803
6436|PI|2017-06-11|71.4817
6437|DF|2018-07-04|535.9017
6438|AL|2018-11-21|255.8587
6439|PR|2017-10-14|983763
6440|BA|2018-01-08|367.8774
6441|MA|2019-02-20|914.6749
6442|MS|2018-04-19|256583
6443|AM|2018-07-07|96.3347
6444|PE|2018-08-12|1188.2739
6445|MA|2018-11-22|799.0379
6446|PE|2017-07-15|179.4954
6447|PB|2017-01-24|59.0749
6448|PR|2019-03-28|1094.1019
6449|AP|2017-09-30|48.4601
6450|MS|2018-11-16|79.1052
6451|AM|2019-03-18|109.7176
6452|SE|2017-05-16|207.8605
6453|ES|2018-03-24|668.4019
6454|MT|2017-05-22|621.4597
6455|SE|2017-04-16|205.2948
6456|MT|2018-12-21|187.8502
6457|BA|2018-08-19|1578.0263
6458|PE|2018-11-21|1423.8376
6459|MT|2017-09-30|319787
6460|PR|2018-08-16|1363.4291
6461|PA|2019-03-25|290.7416
6462|RN|2019-01-10|637.9078
6463|MS|2018-06-26|341.0328
6464|RN|2017-05-23|31.9251
6465|AL|2018-09-26|225.1025
6466|PE|2018-03-19|854.7164
6467|MT|2018-01-22|352.1179
6468|MS|2017-01-26|341.3879
6469|SC|2017-02-18|620.9529
6470|SC|2018-04-17|775.0395
6471|DF|2017-08-27|229.9956
6472|MT|2019-02-26|908.8624
6473|MT|2019-03-18|675.4924
6474|PB|2018-06-09|1005.5922
6475|ES|2017-07-20|959.3275
6476|MS|2017-08-02|191.6257
6477|MS|2018-12-07|333.0361
6478|SC|2018-12-18|1000.4618
6479|MT|2017-09-15|302.6043
6480|DF|2018-05-22|730.1314
6481|MS|2017-12-17|278.4502
6482|AL|2018-09-03|297.5009
6483|SC|2017-02-13|754909
6484|RR|2017-05-18|5.0922
6485|PE|2019-03-03|826.2705
6486|DF|2018-01-25|436.3345
6487|ES|2017-08-21|598.6208
6488|DF|2018-11-24|500.9593
6489|MT|2019-01-12|760.7088
6490|BA|2018-01-29|424.1675
6491|MA|2018-07-10|627.8956
6492|TO|2017-04-19|98.4745
6493|PE|2017-12-01|1016.4318
6494|BA|2018-05-26|1354.8976
6495|SE|2018-10-16|137.6506
6496|DF|2017-12-06|413.3133
6497|SE|2018-05-17|181.5878
6498|AL|2018-05-13|367.5772
6499|ES|2018-02-22|640.2471
6500|SE|2018-03-18|171.8165
6501|DF|2018-03-01|652.1038
6502|AP|2019-03-23|76.7004
6503|MA|2019-01-11|418.3677
6504|DF|2018-08-31|513.4087
6505|DF|2018-09-06|478.7743
6506|PE|2017-03-13|550.2178
6507|AC|2019-01-30|165.9881
6508|PB|2019-02-16|438.2387
6509|MA|2019-01-25|327948
6510|ES|2018-01-08|454.6031
6511|GO|2017-03-12|185.8067
6512|SE|2017-11-20|192272
6513|PE|2018-02-28|593.1279
6514|MS|2017-10-13|126247
6515|ES|2018-12-10|337.6534
6516|BA|2018-02-27|813.2056
6517|MS|2018-10-02|264.2388
6518|AL|2019-03-29|975.8994
6519|MT|2018-11-21|368.0749
6520|MA|2018-11-01|215.2477
6521|SE|2019-01-03|112.1396
6522|DF|2018-10-30|178.8632
6523|MA|2019-02-23|392.4664
6524|SE|2017-12-13|55.9074
6525|AC|2019-02-14|39.2692
6526|RN|2018-04-30|215.4228
6527|TO|2018-07-03|188.6587
6528|TO|2018-12-25|76.6109
6529|PA|2019-02-08|376.3069
6530|PI|2017-02-16|33.4306
6531|PR|2017-11-22|1706.4246
6532|CE|2018-08-24|1057399
6533|SE|2017-09-22|204914
6534|TO|2017-08-09|101.7815
6535|MA|2017-04-29|222.8365
6536|CE|2017-12-13|318.4521
6537|AM|2017-09-20|131.5168
6538|PA|2018-01-12|121.4763
6539|PA|2017-08-16|111.1693
6540|AL|2018-03-24|85.1433
6541|PI|2018-02-10|113.3241
6542|RN|2018-09-21|321.8791
6543|RR|2017-11-22|57.9941
6544|PB|2018-09-27|408.4777
6545|CE|2018-06-01|243.6779
6546|GO|2018-02-17|216.0737
6547|AC|2017-07-28|261.8503
6548|CE|2017-01-22|146.9252
6549|PE|2017-03-15|553.2654
6550|AL|2017-08-01|198.9819
6551|PI|2018-09-21|304.6029
6552|TO|2017-06-17|229.7431
6553|PE|2018-03-10|1622.7303
6554|MT|2017-02-20|185.7063
6555|RO|2017-11-03|4.5482
6556|SE|2018-10-03|332.3089
6557|MS|2017-03-07|122.3414
6558|AM|2018-08-20|35.8425
6559|PR|2017-12-13|1507.8393
6560|MA|2017-11-29|159051
6561|SC|2017-02-02|863.2491
6562|SE|2017-01-17|174.1249
6563|ES|2017-03-09|493.2502
6564|RN|2018-09-23|283.8733
6565|ES|2019-02-03|511.7885
6566|RO|2018-01-23|172246
6567|MT|2017-06-26|484.4817
6568|DF|2017-11-10|752.8184
6569|PB|2017-06-04|574.8955
6570|DF|2018-09-12|488.4699
6571|PA|2018-12-09|515.1843
6572|MS|2018-05-16|332.1755
6573|RO|2018-12-01|88.5633
6574|PE|2017-09-12|464.9736
6575|PB|2018-12-08|229.9005
6576|RS|2017-03-12|761143
6577|RN|2017-05-04|153.1676
6578|MA|2017-03-14|190.7639
6579|GO|2017-06-24|261.5792
6580|MA|2018-04-03|110.2476
6581|PA|2017-05-05|181.0628
6582|DF|2018-01-10|221.1702
6583|BA|2018-02-20|317.1929
6584|SE|2018-07-12|321.8613
6585|PE|2018-10-10|827521
6586|ES|2018-01-05|303.1757
6587|RN|2018-10-11|705.0086
6588|PB|2017-10-13|41.0624
6589|GO|2018-01-06|173665
6590|SC|2017-03-06|640.0983
6591|MT|2018-05-04|707.1567
6592|MS|2018-09-21|412.4351
6593|AM|2018-11-13|474.6444
6594|MA|2018-10-03|317.3416
6595|DF|2017-08-19|300.0416
6596|PI|2017-12-06|37.6205
6597|PE|2017-11-21|358.5715
6598|MT|2019-01-20|416.5642
6599|SE|2018-06-16|395.5969
6600|PA|2018-03-18|377.6412
6601|AL|2018-11-29|789.8085
6602|SE|2017-03-08|419.8626
6603|PA|2018-01-20|293.9626
6604|RO|2017-01-13|92.0814
6605|AL|2017-03-15|138.3654
6606|RN|2019-02-08|739.7356
6607|PE|2018-06-09|1157.8077
6608|ES|2018-02-13|488.5627
6609|DF|2018-09-27|396.6169
6610|SC|2018-04-04|1443.6494
6611|MT|2017-12-23|369567
6612|DF|2017-03-02|391.4454
6613|MT|2017-04-29|250.4096
6614|MT|2017-11-20|545.6248
6615|MT|2017-02-05|344.2066
6616|TO|2017-09-29|43.9306
6617|MS|2018-11-20|192.5829
6618|PE|2017-08-20|686.4387
6619|SC|2017-04-09|686.5315
6620|PB|2018-08-24|433.0447
6621|MA|2018-07-11|464.7288
6622|GO|2018-11-15|220.1091
6623|AL|2017-03-30|74.6938
6624|CE|2018-11-04|1162.9526
6625|DF|2019-03-05|299.1096
6626|MA|2018-09-27|519.8768
6627|MT|2018-10-25|615.2338
6628|AM|2018-05-05|34.0479
6629|RN|2017-11-16|274.5914
6630|AM|2018-03-06|198.8997
6631|AL|2018-02-28|392.7264
6632|DF|2018-02-04|428.7704
6633|SC|2018-02-19|1127665
6634|PE|2017-09-22|589.1595
6635|ES|2018-04-10|1315.3
6636|PI|2019-03-11|398552
6637|MT|2017-07-21|265.9155
6638|SC|2019-01-03|523.7661
6639|DF|2017-09-20|273.4081
6640|GO|2018-09-18|95.0189
6641|CE|2017-04-10|182.2116
6642|DF|2017-09-05|250.3056
6643|AL|2018-08-09|195.1869
6644|MA|2018-07-28|127.1921
6645|PR|2017-07-16|796.9752
6646|MA|2017-07-04|175.3215
6647|DF|2019-03-23|388.8366
6648|MA|2018-06-20|423899
6649|MT|2017-02-03|613.2384
6650|GO|2017-02-15|520.4654
6651|PB|2019-01-20|768.6073
6652|AL|2017-03-26|58.0296
6653|BA|2018-01-10|1075.95
6654|ES|2018-04-07|378.3246
6655|RN|2017-03-27|133.5078
6656|SE|2018-04-30|200.1168
6657|BA|2017-05-15|1034.5971
6658|MT|2018-05-21|504.3027
6659|PA|2018-11-24|275.2624
6660|GO|2017-05-03|105729
6661|GO|2017-06-29|215.0816
6662|DF|2017-10-06|328.7787
6663|MT|2017-06-20|159.0108
6664|TO|2018-03-28|266.2166
6665|MT|2017-10-29|462.2816
6666|RO|2017-10-19|33.1095
6667|SE|2018-03-17|119.3323
6668|PA|2019-02-03|147.8527
6669|CE|2018-06-28|480.8155
6670|DF|2018-10-22|148.9918
6671|MT|2017-04-27|484.4527
6672|ES|2017-08-20|548.1968
6673|CE|2017-09-15|154.8778
6674|PI|2017-03-23|77.9802
6675|SC|2017-04-11|677.8249
6676|PA|2017-08-26|169.2442
6677|MA|2017-03-24|145.9085
6678|MS|2018-01-18|416.3174
6679|BA|2018-01-28|420.2895
6680|SE|2018-03-02|200.9388
6681|PI|2018-07-25|91.9634
6682|ES|2018-12-16|534195
6683|AL|2018-12-21|179.0967
6684|PB|2018-09-28|79.6861
6685|RN|2019-03-01|761.4417
6686|AM|2018-06-30|40.4521
6687|CE|2018-11-26|1507.9486
6688|AL|2018-03-25|233.0684
6689|MA|2019-01-03|134.0346
6690|MA|2017-05-25|90.4235
6691|PB|2019-03-23|570.0725
6692|GO|2019-03-20|264.7325
6693|BA|2017-10-26|545.4585
6694|DF|2019-02-19|668.4804
6695|ES|2017-12-08|966.1876
6696|MS|2019-02-12|299.2794
6697|MT|2018-09-27|367.0113
6698|SE|2018-08-26|472.0876
6699|MS|2018-04-30|285.8025
6700|PR|2017-09-12|740.1114
6701|PE|2018-05-18|891524
6702|MS|2018-01-08|194.3013
6703|RR|2017-07-08|10.8036
6704|MS|2019-02-20|226.7347
6705|PE|2017-12-19|185.0531
6706|RN|2018-10-28|249.5333
6707|PE|2018-03-01|351.1515
6708|PR|2018-05-23|860951
6709|ES|2019-02-09|736.6034
6710|SE|2018-10-12|435.1516
6711|RN|2018-04-13|165304
6712|MS|2018-06-17|396.0813
6713|AM|2018-11-07|36.7443
6714|DF|2018-01-11|731.3238
6715|MA|2017-12-13|123.5713
6716|GO|2018-10-12|268.6538
6717|MT|2018-02-23|1054782
6718|PE|2018-05-17|1025.9377
6719|AM|2018-11-19|64.1956
6720|DF|2017-01-16|191.9424
6721|ES|2017-09-04|380.9226
6722|AM|2018-08-08|15.5461
6723|RO|2017-08-21|0.6983
6724|RO|2018-05-05|95.8507
6725|PB|2018-09-02|280.1157
6726|MA|2018-02-01|220.5649
6727|DF|2017-10-14|394.9402
6728|DF|2019-01-10|709.0735
6729|DF|2017-10-27|437.4436
6730|SC|2017-05-10|858.0744
6731|PE|2018-10-28|1447.6082
6732|AL|2019-01-09|366.1043
6733|PB|2018-10-12|628.5121
6734|RN|2019-04-05|733.5674
6735|PA|2017-09-27|101.3791
6736|AM|2018-11-14|25.9467
6737|GO|2018-08-15|333.2536
6738|PR|2018-02-05|1056.8677
6739|MS|2017-05-22|292.2799
6740|RO|2017-06-23|147.7903
6741|ES|2017-10-25|477.3808
6742|MA|2019-04-10|71.4502
6743|SE|2019-01-07|211063
6744|PB|2018-11-13|636.9776
6745|AM|2018-12-18|169.8954
6746|CE|2017-01-14|267768
6747|RN|2019-02-05|442.6171
6748|AP|2017-01-15|19.6004
6749|PB|2018-08-19|338.9799
6750|MA|2019-01-31|699489
6751|PA|2018-09-11|92.1277
6752|RN|2018-10-26|283.1549
6753|RR|2019-02-28|30.0343
6754|AM|2017-10-20|269.2511
6755|PB|2019-02-19|521.0444
6756|ES|2017-11-02|704122
6757|PE|2017-06-21|125.5802
6758|MA|2018-08-08|270.6331
6759|MA|2017-12-01|66.4341
6760|SC|2018-04-18|1473.0126
6761|ES|2017-12-22|766.3563
6762|MT|2017-06-28|424.3263
6763|AL|2017-05-19|295103
6764|RS|2017-08-29|1122.8003
6765|SE|2017-07-20|277.2346
6766|PE|2018-02-12|631.0938
6767|RO|2018-11-17|105.1475
6768|RN|2017-09-15|109.4908
6769|PB|2018-05-12|228431
6770|RR|2019-01-10|672
6771|AM|2018-09-20|191883
6772|MS|2017-07-10|176.7578
6773|MA|2017-05-17|274.9572
6774|PA|2018-08-27|758.3724
6775|BA|2018-01-21|1004.8202
6776|AL|2018-02-10|40.3342
6777|BA|2017-05-14|513.1979
6778|MS|2018-01-12|614.9217
6779|CE|2018-11-23|1062.4719
6780|MT|2017-11-11|324.7819
6781|PA|2018-03-04|228.7684
6782|CE|2017-02-21|117.3782
6783|RO|2018-01-24|48.7669
6784|AM|2017-12-06|49.4119
6785|TO|2017-11-19|137.1842
6786|MT|2018-04-18|376.1429
6787|MT|2018-11-07|297.1764
6788|SE|2017-07-11|256.1706
6789|DF|2019-03-11|386.6159
6790|SE|2017-12-05|90.0913
6791|RN|2017-04-19|94.0484
6792|AC|2017-04-17|138.7791
6793|PA|2017-04-23|57.0671
6794|AM|2017-07-05|83.9164
6795|PI|2018-07-22|365.0756
6796|PB|2018-06-06|279.5358
6797|MT|2018-06-15|405.2723
6798|PB|2018-12-17|594.8062
6799|AL|2018-02-17|214.9398
6800|PA|2018-04-30|123.2802
6801|AC|2017-06-13|3.6034
6802|MT|2018-10-22|293.2544
6803|BA|2017-10-28|1092.0084
6804|AM|2017-07-13|420022
6805|MS|2019-03-22|494.3675
6806|RN|2018-06-05|173.2359
6807|TO|2017-11-23|169.7183
6808|MS|2017-02-18|412.4915
6809|PB|2018-08-01|342.1676
